,title,type,issue,date
6357,Building a Stronger America: Addressing America’s Infrastructure Needs,Fact Sheets,Infrastructure & Technology,"Feb 13, 2018"
6358,"Did You Know? The Federal Government’s Outsized, but Limited Role in Infrastructure",Other,Infrastructure & Technology,"Feb 12, 2018"
6359,Readout of President Donald J. Trump’s Call with President Vladimir Putin of Russia,Statements & Releases,Foreign Policy,"Feb 12, 2018"
6360,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Feb 12, 2018"
6361,Press Briefing by OMB Director Mick Mulvaney on President Trump’s FY2018 Budget,Press Briefings,Budget & Spending,"Feb 12, 2018"
6362,Presidential Message to the Congress of the United States,Presidential Memoranda,Infrastructure & Technology,"Feb 12, 2018"
6363,Remarks by President Trump in Meeting with State and Local Officials on Infrastructure Initiative,Remarks,Infrastructure & Technology,"Feb 12, 2018"
6364,Building a Stronger America,Other,Infrastructure & Technology,"Feb 12, 2018"
6365,Presidential Sequestration Order for Fiscal Year 2019,Presidential Memoranda,Budget & Spending,"Feb 12, 2018"
6366,President Donald J. Trump Announces Eleventh Wave of Judicial Nominees,Nominations & Appointments,Other,"Feb 12, 2018"
6367,Building a Stronger America: President Donald J. Trump’s American Infrastructure Initiative,Fact Sheets,Infrastructure & Technology,"Feb 12, 2018"
6368,President Donald J. Trump Approves American Samoa Emergency Declaration,Statements & Releases,Land & Agriculture,"Feb 11, 2018"
6369,Statement by the Press Secretary,Statements & Releases,Other,"Feb 11, 2018"
6370,President Donald J. Trump’s Weekly Address,Statements & Releases,Immigration,"Feb 11, 2018"
6371,Joint Press Statement on the Visit to Turkey by National Security Advisor Lieutenant General H.R. McMaster,Statements & Releases,Foreign Policy,"Feb 11, 2018"
6372,Statement by the Press Secretary on the Situation in Syria and Israel,Statements & Releases,Foreign Policy,"Feb 10, 2018"
6373,Vice President Pence and Second Lady Karen Pence Meet North Korean Defectors,Other,Other,"Feb 9, 2018"
6374,President Donald J. Trump Announces Appointments for the Executive Office of the President,Statements & Releases,Other,"Feb 9, 2018"
6375,Photos of the Week,Statements & Releases,Other,"Feb 9, 2018"
6376,"To Save Gaza, Turn on the Lights",Other,Other,"Feb 9, 2018"
6377,Remarks by President Trump During Visit with Shane Bouvet and Donald Bouvet,Remarks,Other,"Feb 9, 2018"
6378,President Donald J. Trump Signs H.R. 1301 into Law,Statements & Releases,Other,"Feb 9, 2018"
6379,"President Donald J. Trump Announces Intent to Nominate Harry B. Harris Jr. of Florida, to be to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Commonwealth of Australia",Nominations & Appointments,Other,"Feb 9, 2018"
6380,Presidential Message to the Congress of the United States,Presidential Memoranda,Foreign Policy,"Feb 9, 2018"
6381,Notice Regarding the Continuation of the National Emergency with Respect to Libya,Presidential Memoranda,Foreign Policy,"Feb 9, 2018"
6382,Presidential Message to the Congress of the United States,Presidential Memoranda,Budget & Spending,"Feb 9, 2018"
6383,President Donald J. Trump’s Tax Cuts Are Boosting American Workers’ Paychecks,News Clips,Budget & Spending,"Feb 9, 2018"
6384,CEA Report: Reforming Biopharmaceutical Pricing at Home and Abroad,Statements & Releases,Healthcare,"Feb 9, 2018"
6385,President Donald J. Trump Signs H.R. 1892 into Law,Statements & Releases,Budget & Spending,"Feb 9, 2018"
6386,Presidential Memorandum for the Secretary of State and the Secretary of Defense,Presidential Memoranda,National Security & Defense,"Feb 9, 2018"
6387,Remarks by Vice President Pence in Press Gaggle at Cheonan Memorial,Remarks,Foreign Policy,"Feb 9, 2018"
6388,Remarks by Vice President Pence in Meeting with North Korean Defectors,Remarks,Foreign Policy,"Feb 9, 2018"
6389,Readout of President Donald J. Trump’s Call with Narendra Modi of India,Statements & Releases,Foreign Policy,"Feb 8, 2018"
6390,Vice President Mike Pence Speaks to Troops in Japan and Arrives in South Korea,Other,Foreign Policy,"Feb 8, 2018"
6391,Presidential Memorandum Delegation of Certain Functions and Authorities under Section 1252 of the National Defense Authorization Act for Fiscal Year 2017,Presidential Memoranda,National Security & Defense,"Feb 8, 2018"
6392,Press Briefing by Principal Deputy Press Secretary Raj Shah,Press Briefings,Other,"Feb 8, 2018"
6393,Ending the Economic Harm Caused by Our Immigration System,Fact Sheets,Immigration,"Feb 8, 2018"
6394,President Donald J. Trump Announces Intent to Nominate Charles P. Rettig,Nominations & Appointments,Other,"Feb 8, 2018"
6395,Readout of President Donald J. Trump’s Meeting with President Morales of Guatemala,Statements & Releases,Foreign Policy,"Feb 8, 2018"
6396,Remarks by President Trump at the 66th Annual National Prayer Breakfast,Remarks,Law & Justice,"Feb 8, 2018"
6397,President Trump Has Been a Champion for Religious Freedom,Fact Sheets,Law & Justice,"Feb 8, 2018"
6398,Remarks by Vice President Pence and President Moon of the Republic of Korea Before Bilateral Meeting,Remarks,Foreign Policy,"Feb 8, 2018"
6399,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts,Nominations & Appointments,Other,"Feb 8, 2018"
6400,Remarks by Vice President Pence in Press Gaggle Before Air Force Two Departure,Press Briefings,Other,"Feb 8, 2018"
6401,Remarks by Vice President Pence to Troops at Yokota Air Base,Remarks,Foreign Policy,"Feb 8, 2018"
6402,Press Briefing by Press Secretary Sarah Sanders and Secretary of Defense James Mattis,Press Briefings,Other,"Feb 7, 2018"
6403,Statement by the Press Secretary on Iran Returning Baquer Namazi to Prison,Statements & Releases,Foreign Policy,"Feb 7, 2018"
6404,Remarks by Vice President Pence and Prime Minister Abe of Japan in Joint Statements,Remarks,Foreign Policy,"Feb 7, 2018"
6405,Remarks by Vice President Pence and Prime Minister Abe of Japan Before Bilateral Meeting,Remarks,Foreign Policy,"Feb 7, 2018"
6406,Remarks by Vice President Pence and Prime Minister Abe of Japan at Banquet Hosted by the Government of Japan,Remarks,Foreign Policy,"Feb 7, 2018"
6407,Vice President Pence: The U.S. Will Unveil New Tough and Aggressive Sanctions on North Korea,Other,Foreign Policy,"Feb 7, 2018"
6408,Second Lady Karen Pence’s Visit in Japan Shines Light on Sister City Relationship,Statements & Releases,Foreign Policy,"Feb 7, 2018"
6409,Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of the United Kingdom,Statements & Releases,Foreign Policy,"Feb 6, 2018"
6410,Press Briefing by Press Secretary Sarah Sanders and DOJ Acting Assistant Attorney General of the Criminal Division John Cronan,Press Briefings,Other,"Feb 6, 2018"
6411,Statement from the Press Secretary Regarding the Creation of the National Vetting Center,Statements & Releases,National Security & Defense,"Feb 6, 2018"
6412,Remarks by President Trump at Law Enforcement Roundtable on MS-13,Remarks,Immigration,"Feb 6, 2018"
6413,Investor’s Business Daily: “Poll: Economic Optimism Hits 13-Year High on Trump Tax Cuts”,News Clips,Budget & Spending,"Feb 6, 2018"
6414,Presidential Memorandum on Optimizing the Use of Federal Government Information in Support of the National Vetting Enterprise,Presidential Memoranda,National Security & Defense,"Feb 6, 2018"
6415,Creative Arts Therapy Strikes a Chord with Military Service Members in Alaska,Other,Healthcare,"Feb 6, 2018"
6416,Protecting American Communities from the Violence of MS-13,Fact Sheets,Immigration,"Feb 6, 2018"
6417,Vice President Mike Pence arrives in Japan,Other,Foreign Policy,"Feb 6, 2018"
6418,First Lady Melania Trump Announces 2018 White House Easter Egg Roll,Statements & Releases,Other,"Feb 6, 2018"
6419,"Readout of Second Lady Karen Pence’s Visit to Anchorage, Alaska",Statements & Releases,Healthcare,"Feb 6, 2018"
6420,Remarks by Vice President Pence Before United States Northern Command (NORTHCOM) Briefing with Aerospace and Missile Defense Leadership,Remarks,National Security & Defense,"Feb 6, 2018"
6421,Press Gaggle by Vice President Pence,Remarks,Other,"Feb 6, 2018"
6422,"President Trump Announces the Head of the Presidential Delegation to the Republic of Korea to Attend the Closing Ceremony of the XXIII Olympic Winter Games  in PyeongChang, Gangwon Province, Republic of Korea",Statements & Releases,Other,"Feb 5, 2018"
6423,President Donald J. Trump Announces Intent to Appoint Kenneth Johnson and Intent to Nominate Jeffrey Nadaner,Nominations & Appointments,Other,"Feb 5, 2018"
6424,Remarks by President Trump on Tax Reform,Remarks,Budget & Spending,"Feb 5, 2018"
6425,Democrats Have Lost Their Way on Immigration,Other,Immigration,"Feb 5, 2018"
6426,Twelve Nominations and Two Withdrawals Sent to the Senate Today,Nominations & Appointments,Other,"Feb 5, 2018"
6427,Readout of First Lady Melania Trump’s Visit to the Cincinnati Children’s Hospital Medical Center,Statements & Releases,Other,"Feb 5, 2018"
6428,President Donald J. Trump Achieved the Biggest Tax Cuts and Reforms in American History,Fact Sheets,Budget & Spending,"Feb 5, 2018"
6429,"Press Gaggle by Principal Deputy Press Secretary Raj Shah en route Cincinnati, Ohio",Press Briefings,Other,"Feb 5, 2018"
6430,Presidential Memorandum on the Delegation of Certain Functions and Authorities under Section 1238 of the National Defense Authorization Act for Fiscal Year 2018,Presidential Memoranda,National Security & Defense,"Feb 5, 2018"
6431,Presidential Message on Super Bowl LII,Statements & Releases,Other,"Feb 4, 2018"
6432,Photos of the Week,Statements & Releases,Other,"Feb 2, 2018"
6433,Remarks by President Trump at Customs and Border Protection Roundtable,Remarks,Immigration,"Feb 2, 2018"
6434,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts,Nominations & Appointments,Other,"Feb 2, 2018"
6435,Remarks by Vice President Pence at America First Policies Tax Reform Event,Remarks,Budget & Spending,"Feb 2, 2018"
6436,Statement by President Donald J. Trump on the Nuclear Posture Review,Statements & Releases,National Security & Defense,"Feb 2, 2018"
6437,Remarks by President Trump in Meeting with North Korean Defectors,Remarks,Foreign Policy,"Feb 2, 2018"
6438,Statement from the President Regarding K.T. McFarland’s Withdrawal of Her Nomination to be Ambassador to Singapore,Statements & Releases,Other,"Feb 2, 2018"
6439,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Feb 2, 2018"
6440,The President’s State Of The Union Address Continues To Earn Applause,Statements & Releases,Other,"Feb 2, 2018"
6441,Responsible Immigration Reform Will Secure Our Borders,Fact Sheets,Immigration,"Feb 2, 2018"
6442,Readout of the Vice President’s Call with Afghan President Ashraf Ghani,Statements & Releases,Foreign Policy,"Feb 2, 2018"
6443,Readout of President Donald J. Trump’s Call with President Moon Jae-In,Statements & Releases,Foreign Policy,"Feb 2, 2018"
6444,Readout of President Donald J. Trump’s Call with Prime Minister Shinzo Abe of Japan,Statements & Releases,Foreign Policy,"Feb 2, 2018"
6445,Today’s Job Gains Top Off an Impressive Week of Economic News,Statements & Releases,Economy & Jobs,"Feb 2, 2018"
6446,Some Good News on Wage Growth,Other,Economy & Jobs,"Feb 2, 2018"
6447,Statement from the Press Secretary on the Visit of Prime Minister Malcolm Turnbull of Australia,Statements & Releases,Foreign Policy,"Feb 2, 2018"
6448,President Donald J. Trump Announces Key Additions to his Administration,Nominations & Appointments,Other,"Feb 2, 2018"
6449,African American History Month and the Bonds of Patriotism,Other,Other,"Feb 1, 2018"
6450,Presidential Delegation to Attend Winter Olympics,Statements & Releases,Other,"Feb 1, 2018"
6451,Randomness Cannot Have a Place in our Immigration System,Fact Sheets,Immigration,"Feb 1, 2018"
6452,"Washington Examiner: “Trump’s immigration deal is, well, the real deal”",News Clips,Immigration,"Feb 1, 2018"
6453,Remarks by President Trump at the 2018 House and Senate Republican Member Conference,Remarks,Other,"Feb 1, 2018"
6454,Music Therapy Heals the Hearts of Military Service Members,Other,Healthcare,"Feb 1, 2018"
6455,Matt Mackowiak: “Sullen Democrats sit out Trump’s offer of bipartisanship”,News Clips,Other,"Feb 1, 2018"
6456,National Security Threats—Chain Migration and the Visa Lottery System,Other,Immigration,"Feb 1, 2018"
6457,Ned Ryun: “Trump’s State of the Union speech was magnificent”,News Clips,Other,"Feb 1, 2018"
6458,Remarks by Vice President Pence to the Congressional Retreat,Remarks,Other,"Feb 1, 2018"
6459,President Donald J. Trump Proclaims February 2018 as American Heart Month,Proclamations,Other,"Feb 1, 2018"
6460,"Remarks by Vice President Pence Regarding the Positive Impact of President Trump’s Tax Reform Policies on Working Americans, Businesses, and West Virginian Families",Remarks,Budget & Spending,"Jan 31, 2018"
6461,President Donald J. Trump Proclaims February 2018 as National African American History Month,Proclamations,Other,"Jan 31, 2018"
6462,President Donald J. Trump Signs S. 117 into Law,Statements & Releases,Other,"Jan 31, 2018"
6463,Remarks by President Trump at Tax Reform Meeting with American Workers,Remarks,Budget & Spending,"Jan 31, 2018"
6464,Common-Sense Immigration Reform that Keeps Families Together,Fact Sheets,Immigration,"Jan 31, 2018"
6465,Tax Cuts and Reforms are Helping American Workers and Businesses,Statements & Releases,Budget & Spending,"Jan 31, 2018"
6466,Good News Keeps Rolling in for American Workers and the American Economy Following Tax Reform,Fact Sheets,Economy & Jobs,"Jan 31, 2018"
6467,Applause for President Donald J. Trump’s State of the Union Address,Statements & Releases,Other,"Jan 31, 2018"
6468,WTAS: Support For President Donald J. Trump’s State Of The Union Address,Statements & Releases,Other,"Jan 31, 2018"
6469,Remarks by President Trump in State of the Union Address,Remarks,Other,"Jan 30, 2018"
6470,President Donald J. Trump’s State of the Union Address,Remarks,Other,"Jan 30, 2018"
6471,President Donald J. Trump and First Lady Melania Trump Announce Additional Special Guests for the State of the Union Address,Statements & Releases,Other,"Jan 30, 2018"
6472,Presidential Executive Order on Protecting America Through Lawful Detention of Terrorists,Executive Orders,National Security & Defense,"Jan 30, 2018"
6473,President Donald J. Trump Protects America Through Lawful Detention of Terrorists,Fact Sheets,National Security & Defense,"Jan 30, 2018"
6474,President Donald J. Trump Wants Immigration That Makes America Stronger and Safer,Fact Sheets,Immigration,"Jan 30, 2018"
6475,President Donald J. Trump’s ‘American Model’ Economy,Fact Sheets,Economy & Jobs,"Jan 30, 2018"
6476,President Donald J. Trump Is Reshaping the Government,Fact Sheets,Other,"Jan 30, 2018"
6477,President Donald J. Trump Will Rebuild American Infrastructure and Forge a Path Towards Greater Prosperity,Fact Sheets,Infrastructure & Technology,"Jan 30, 2018"
6478,President Donald J. Trump’s Foreign Policy Puts America First,Fact Sheets,National Security & Defense,"Jan 30, 2018"
6479,"President Donald J. Trump Is Promoting Free, Fair, and Reciprocal Trade",Fact Sheets,Economy & Jobs,"Jan 30, 2018"
6480,President Donald J. Trump Meets with State of the Union Guests,Statements & Releases,Other,"Jan 30, 2018"
6481,State of the Union Speech Excerpts,Remarks,Other,"Jan 30, 2018"
6482,Facing the Facts About Our Broken Immigration System,Fact Sheets,Immigration,"Jan 30, 2018"
6483,President Donald J. Trump Signs H.R. 984 and H.R. 4641 into Law,Statements & Releases,Other,"Jan 29, 2018"
6484,Statement by President Donald J. Trump on the Senate’s Failure to Advance the Pain-Capable Unborn Child Protection Act,Statements & Releases,Law & Justice,"Jan 29, 2018"
6485,President Donald J. Trump Announces Intent to Nominate Kirsten Dawn Madison of Florida,Nominations & Appointments,Other,"Jan 29, 2018"
6486,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 29, 2018"
6487,Special Guests for the State of the Union Address,Other,Other,"Jan 29, 2018"
6488,President Donald J. Trump and First Lady Melania Trump Announce Special Guests for the State of the Union Address,Statements & Releases,Other,"Jan 29, 2018"
6489,Remarks by President Trump at Lunch with Members of the United Nations Security Council,Remarks,Other,"Jan 29, 2018"
6490,Remarks by President Trump at Swearing-In Ceremony of Alex Azar as Secretary of the Department of Health and Human Services,Remarks,Other,"Jan 29, 2018"
6491,Gary Cohn: “Trump Shared a Vision of Economic Progress in Davos”,News Clips,Economy & Jobs,"Jan 29, 2018"
6492,Statement from the President on the Attack in Kabul,Statements & Releases,Foreign Policy,"Jan 27, 2018"
6493,"“POLL: Majority of Americans Agree with Trump on DACA, Immigration”",News Clips,Immigration,"Jan 27, 2018"
6494,Photos of the Week,Statements & Releases,Other,"Jan 27, 2018"
6495,Holocaust Remembrance Day: ‘My Heart Is With You’,Other,Other,"Jan 26, 2018"
6496,President Donald J. Trump Announces Intent to Appoint Suzette Kuhlow Kent and Intent to Nominate Dr. James Reilly and Seth Daniel Appleton,Nominations & Appointments,Other,"Jan 26, 2018"
6497,"FTC, FDA Warn Companies about Marketing and Selling Opioid Cessation Products",Other,Healthcare,"Jan 26, 2018"
6498,"More Jobs, More Opportunity, More Growth",Statements & Releases,Economy & Jobs,"Jan 26, 2018"
6499,Readout of President Donald J. Trump’s Meeting with President Alain Berset of Switzerland,Statements & Releases,Foreign Policy,"Jan 26, 2018"
6500,Presidential Message on International Holocaust Remembrance Day,Statements & Releases,Other,"Jan 26, 2018"
6501,Readout of President Donald J. Trump’s Meeting with President African Union Chairman Paul Kagame of Rwanda,Statements & Releases,Foreign Policy,"Jan 26, 2018"
6502,Remarks by President Trump to the World Economic Forum,Remarks,Foreign Policy,"Jan 26, 2018"
6503,"Remarks by President Trump and President Berset of the Swiss Confederation Before Bilateral Meeting | Davos, Switzerland",Remarks,Foreign Policy,"Jan 26, 2018"
6504,Background Briefing Previewing the President’s Address to the World Economic Forum,Press Briefings,Foreign Policy,"Jan 26, 2018"
6505,Remarks by President Trump and President Kagame of the Republic of Rwanda After Expanded Bilateral Meeting,Remarks,Foreign Policy,"Jan 26, 2018"
6506,Remarks by President Trump at Dinner with European Business Leaders,Remarks,Foreign Policy,"Jan 25, 2018"
6507,White House Framework on Immigration Reform & Border Security,Fact Sheets,Immigration,"Jan 25, 2018"
6508,"What I Learned about Art Therapy in Egypt, Jordan, and Israel",Other,Healthcare,"Jan 25, 2018"
6509,Five Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 25, 2018"
6510,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts,Nominations & Appointments,Other,"Jan 25, 2018"
6511,NASA Day of Remembrance 2018,Statements & Releases,Other,"Jan 25, 2018"
6512,Readout of President Donald J. Trump’s Meeting with Prime Minister Benjamin Netanyahu of Israel,Statements & Releases,Foreign Policy,"Jan 25, 2018"
6513,Readout of President Donald J. Trump’s Meeting with Prime Minister Theresa May of the United Kingdom,Statements & Releases,Foreign Policy,"Jan 25, 2018"
6514,"Remarks by President Trump and Prime Minister May of the United Kingdom After Bilateral Meeting | Davos, Switzerland",Remarks,Foreign Policy,"Jan 25, 2018"
6515,"Remarks by President Trump and Prime Minister Netanyahu of Israel Before Bilateral Meeting | Davos, Switzerland",Remarks,Foreign Policy,"Jan 25, 2018"
6516,Statement on First Lady Melania Trump’s Visit to the United States Holocaust Memorial Museum,Statements & Releases,Other,"Jan 25, 2018"
6517,‘Our Students Deserve More Than Just a Paper Diploma’,Other,Other,"Jan 25, 2018"
6518,President Trump to Davos: ‘America Is Open for Business’,Other,Foreign Policy,"Jan 25, 2018"
6519,Statement by the Press Secretary Supporting the Foreign Investment Risk Review Modernization Act,Statements & Releases,Foreign Policy,"Jan 24, 2018"
6520,Chain Migration by the Numbers,Other,Immigration,"Jan 24, 2018"
6521,Eight Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 24, 2018"
6522,Remarks by President Trump at Working Session with Mayors,Remarks,Other,"Jan 24, 2018"
6523,President Donald J. Trump’s Economic Policies are Delivering for American Workers,Statements & Releases,Economy & Jobs,"Jan 24, 2018"
6524,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Jan 24, 2018"
6525,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 24, 2018"
6526,Statement from the Press Secretary,Statements & Releases,Immigration,"Jan 24, 2018"
6527,Readout of President Donald J. Trump’s Call with President Recep Tayyip Erdogan of Turkey,Statements & Releases,Foreign Policy,"Jan 24, 2018"
6528,List of Foreign Ambassadors who Participated in Credentialing Ceremony,Statements & Releases,Other,"Jan 24, 2018"
6529,Attorney General Jeff Sessions: “Trump promised to end ‘American carnage.’ Promise delivered.”,News Clips,Law & Justice,"Jan 24, 2018"
6530,Statement from the Press Secretary on the International Partnership Against Impunity for the Use of Chemical Weapons,Statements & Releases,Foreign Policy,"Jan 24, 2018"
6531,Press Briefing by Press Secretary Sarah Sanders,Other,Other,"Jan 23, 2018"
6532,Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Other,"Jan 23, 2018"
6533,Four Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 23, 2018"
6534,President Donald J. Trump Announces Tenth Wave of Judicial Nominees,Nominations & Appointments,Other,"Jan 23, 2018"
6535,Presidential Proclamation to Facilitate Positive Adjustment to Competition from Imports of Large Residential Washers,Proclamations,Other,"Jan 23, 2018"
6536,Presidential Proclamation to Facilitate Positive Adjustment to Competition from Imports of Certain Crystalline Silicon Photovoltaic Cells,Proclamations,Other,"Jan 23, 2018"
6537,Remarks by President Trump at Signing of Section 201 Actions,Remarks,Other,"Jan 23, 2018"
6538,Presidential Memorandum for the Secretary of Defense,Presidential Memoranda,National Security & Defense,"Jan 23, 2018"
6539,"Text of a Letter from the President to the Chairman and Ranking Member of the House Committee on Financial Services, and the Chairman and Ranking Member of the Senate",Statements & Releases,National Security & Defense,"Jan 23, 2018"
6540,Presidential Memorandum for the Secretary of Defense,Presidential Memoranda,National Security & Defense,"Jan 23, 2018"
6541,"Text of a Letter From the President to the Chairman and Ranking Member of The House Committee on Financial Services, and the Chairman and Ranking Member of the Senate Committee on Banking, Housing, and Urban Affairs",Statements & Releases,National Security & Defense,"Jan 23, 2018"
6542,Readout of the Vice President’s Meeting with President Reuven Rivlin of Israel,Statements & Releases,Foreign Policy,"Jan 23, 2018"
6543,President Donald J. Trump: “A year of real change”,News Clips,Other,"Jan 23, 2018"
6544,Remarks by Vice President Mike Pence and President Reuven Rivlin of Israel Before Bilateral Meeting,Remarks,Foreign Policy,"Jan 23, 2018"
6545,Photo of President Donald J. Trump signing H.R. 195 – Federal Register Printing Savings Act of 2017,Statements & Releases,Other,"Jan 22, 2018"
6546,President Donald J. Trump Signs H.R. 195 into Law,Statements & Releases,Other,"Jan 22, 2018"
6547,President Donald J. Trump Signs H.R. 3759 into Law,Statements & Releases,Healthcare,"Jan 22, 2018"
6548,Remarks by Vice President Mike Pence and Prime Minister Benjamin Netanyahu of Israel in Joint Press Statements,Remarks,Foreign Policy,"Jan 22, 2018"
6549,Three Nominations and One Withdrawal Sent to the Senate Today,Nominations & Appointments,Other,"Jan 22, 2018"
6550,"President Donald J. Trump Announces Intent to Nominate Trevor Traina of California, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Austria",Nominations & Appointments,Other,"Jan 22, 2018"
6551,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 22, 2018"
6552,Statement from President Donald J. Trump,Statements & Releases,Other,"Jan 22, 2018"
6553,"President Donald J. Trump Proclaims January 21 through January 27, 2018, as National School Choice Week",Proclamations,Education,"Jan 22, 2018"
6554,Remarks by Vice President Mike Pence in Special Session of the Knesset,Remarks,Foreign Policy,"Jan 22, 2018"
6555,Readout of Second Lady Karen Pence Visit with Creative Arts Therapists in Israel,Statements & Releases,Foreign Policy,"Jan 22, 2018"
6556,Remarks by Vice President Mike Pence to Troops,Remarks,Foreign Policy,"Jan 21, 2018"
6557,Remarks by LTG H.R. McMaster at the United States Naval Academy,Remarks,National Security & Defense,"Jan 21, 2018"
6558,Readout of Second Lady Karen Pence Visit in Jordan,Statements & Releases,Foreign Policy,"Jan 21, 2018"
6559,Remarks by Vice President Mike Pence and His Majesty King Abdullah II of Jordan Before Working Lunch,Remarks,Foreign Policy,"Jan 21, 2018"
6560,"President Trump Announces Presidential Delegation to Monrovia to Attend the Presidential Inauguration of His Excellency George Weah, President-elect of the Republic of Liberia",Statements & Releases,Foreign Policy,"Jan 20, 2018"
6561,Photos of President Donald J. Trump Working in the White House During the Democrat Shutdown,Statements & Releases,Other,"Jan 20, 2018"
6562,Readout of Second Lady Karen Pence Art Therapy Visit in Egypt,Statements & Releases,Foreign Policy,"Jan 20, 2018"
6563,Press Briefing by OMB Director Mick Mulvaney and Legislative Affairs Director Marc Short on the Government Shutdown,Press Briefings,Other,"Jan 20, 2018"
6564,Remarks by Vice President Mike Pence and President Abdel Fattah Al Sisi of Egypt Before Expanded Bilateral Meeting,Remarks,Foreign Policy,"Jan 20, 2018"
6565,"Remarks by Vice President Mike Pence to Members of the Press Before Departing Cairo, Egypt",Remarks,Foreign Policy,"Jan 20, 2018"
6566,Statement by the Press Secretary,Statements & Releases,Other,"Jan 19, 2018"
6567,Photos of the Week,Statements & Releases,Other,"Jan 19, 2018"
6568,Statement by the President on FISA Amendments Reauthorization Act of 2017,Statements & Releases,Foreign Policy,"Jan 19, 2018"
6569,President Donald J. Trump Signs S. 139 into Law,Statements & Releases,Foreign Policy,"Jan 19, 2018"
6570,Statement by the Press Secretary on the FISA Amendments Reauthorization Act of 2017,Statements & Releases,Foreign Policy,"Jan 19, 2018"
6571,Remarks by Vice President Pence to March for Life Participants and Pro-Life Leaders,Remarks,Other,"Jan 19, 2018"
6572,President Trump Addresses the 45th March for Life,Other,Other,"Jan 19, 2018"
6573,Remarks by President Trump to March for Life Participants and Pro-Life Leaders,Remarks,Other,"Jan 19, 2018"
6574,One Nomination Sent to the Senate Today,Nominations & Appointments,Other,"Jan 19, 2018"
6575,Press Briefing by OMB Director Mick Mulvaney and Legislative Affairs Director Marc Short on the Potential Government Shutdown,Press Briefings,Budget & Spending,"Jan 19, 2018"
6576,President Donald J. Trump is Standing Up for the Sanctity of Life,Fact Sheets,Law & Justice,"Jan 19, 2018"
6577,"President Donald J. Trump Proclaims January 22, 2018, as National Sanctity of Human Life Day",Proclamations,Law & Justice,"Jan 19, 2018"
6578,Readout of President Donald J. Trump’s Meeting with Senior Defense Leaders,Statements & Releases,National Security & Defense,"Jan 19, 2018"
6579,"President Donald J. Trump Announces Intent to Nominate John H. Gibson II of Texas, to be Chief Management Officer at the Department of Defense",Nominations & Appointments,Other,"Jan 18, 2018"
6580,Remarks by Vice President Mike Pence at a Reception Honoring March for Life Participants,Remarks,Law & Justice,"Jan 18, 2018"
6581,"Remarks by President Trump at H&K Equipment Company | Coraopolis, PA",Remarks,Economy & Jobs,"Jan 18, 2018"
6582,"Remarks by President Trump on Tour of H&K Equipment Company | Coraopolis, PA",Remarks,Other,"Jan 18, 2018"
6583,"America’s Economic Comeback: Another Week of Jobs, Growth, and Investment",Statements & Releases,Economy & Jobs,"Jan 18, 2018"
6584,"Press Gaggle by Principal Deputy Press Secretary Raj Shah en route Pittsburgh, PA",Press Briefings,Other,"Jan 18, 2018"
6585,President Donald J. Trump’s Tax Cuts Are Delivering For Hardworking Americans and Our Manufacturers,Fact Sheets,Budget & Spending,"Jan 18, 2018"
6586,Nine Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 18, 2018"
6587,Remarks by President Trump Before Meetings at the Pentagon,Remarks,Other,"Jan 18, 2018"
6588,Bob Dole Receives Congress’ Highest Civilian Honor,Other,Other,"Jan 18, 2018"
6589,"President Trump Returns to Pennsylvania, a Promise Kept",Other,Budget & Spending,"Jan 18, 2018"
6590,President Donald J. Trump Announces Intent to Nominate Edward C. Prado to be Ambassador to the Argentine Republic,Nominations & Appointments,Other,"Jan 17, 2018"
6591,Remarks by the Vice President at the Congressional Gold Medal Ceremony Honoring Former Senator Bob Dole,Remarks,Other,"Jan 17, 2018"
6592,Remarks by President Trump at Congressional Gold Medal Ceremony Honoring Former Senator Bob Dole,Remarks,Other,"Jan 17, 2018"
6593,Press Briefing by Press Secretary Sarah Sanders and Principal Deputy Assistant Attorney General Ed O’Callaghan,Press Briefings,Other,"Jan 17, 2018"
6594,Notice Regarding the Continuation of the National Emergency with Respect to Terrorists who Threaten to Disrupt the Middle East Peace Process,Statements & Releases,National Security & Defense,"Jan 17, 2018"
6595,Presidential Message to the Congress of the United States,Statements & Releases,Land & Agriculture,"Jan 17, 2018"
6596,Readout of the Vice President’s Meeting with President Nursultan Nazarbayev of Kazakhstan,Statements & Releases,Foreign Policy,"Jan 17, 2018"
