,title,type,issue,date
5330,Remarks by President Trump at Signing of the VA Mission Act of 2018,Remarks,Veterans,"Jun 6, 2018"
5331,President Donald J. Trump Signs S. 2372 into Law,Statements & Releases,Veterans,"Jun 6, 2018"
5332,President Donald J. Trump Announces Appointments for the Executive Office of the President,Nominations & Appointments,Other,"Jun 6, 2018"
5333,President Trump Commutes Sentence of Alice Marie Johnson,Statements & Releases,Law & Justice,"Jun 6, 2018"
5334,President Donald J. Trump Provides Resources For Veterans To Get The Care They Deserve From The Doctors They Want,Fact Sheets,Veterans,"Jun 6, 2018"
5335,President Donald J. Trump’s 500 Days of Making the Government Accountable to the American People,Fact Sheets,Other,"Jun 6, 2018"
5336,President Donald J. Trump Signs S. 292 and S. 1282 into Law,Statements & Releases,Healthcare,"Jun 5, 2018"
5337,"Remarks by President Trump at the Signing Ceremony for S. 292, the Childhood Cancer, Survivorship, Treatment, Access, and Research Act of 2018",Remarks,Healthcare,"Jun 5, 2018"
5338,Presidential Message to the Congress of the United States,Statements & Releases,Budget & Spending,"Jun 5, 2018"
5339,Press Briefing by Press Secretary Sarah Sanders and CEA Chairman Kevin Hassett,Press Briefings,Other,"Jun 5, 2018"
5340,Remarks by President Trump at Celebration of America Event,Remarks,Other,"Jun 5, 2018"
5341,Results of President Donald J. Trump’s Pro-Growth Agenda,Fact Sheets,Economy & Jobs,"Jun 5, 2018"
5342,Statement from the Press Secretary on the Change of Format for Today’s Event,Statements & Releases,Other,"Jun 5, 2018"
5343,President Donald J. Trump’s 500 Days of Making Our Communities Safer and More Secure,Fact Sheets,Immigration,"Jun 5, 2018"
5344,Remarks by Vice President Pence at Organization of American States Reception,Remarks,Foreign Policy,"Jun 4, 2018"
5345,Statement from First Lady Melania Trump on Gold Star Families,Statements & Releases,Other,"Jun 4, 2018"
5346,Statement by the President,Statements & Releases,Other,"Jun 4, 2018"
5347,Eight Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jun 4, 2018"
5348,Presidential Memorandum for the Secretary of State,Presidential Memoranda,Foreign Policy,"Jun 4, 2018"
5349,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post,Nominations & Appointments,Other,"Jun 4, 2018"
5350,Presidential Memorandum for the Secretary of State,Presidential Memoranda,Other,"Jun 4, 2018"
5351,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jun 4, 2018"
5352,Readout of Vice President Mike Pence’s Call with President of Ecuador Lenin Moreno,Statements & Releases,Foreign Policy,"Jun 4, 2018"
5353,President Donald J. Trump’s 500 Days of Strengthening the American Economy,Fact Sheets,Economy & Jobs,"Jun 4, 2018"
5354,Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of the United Kingdom,Statements & Releases,Foreign Policy,"Jun 4, 2018"
5355,Readout of Discussions between Administration Officials and a Delegation from China Regarding the Trade Relationship between the United States and China,Statements & Releases,Economy & Jobs,"Jun 4, 2018"
5356,President Donald J. Trump’s 500 Days of American Greatness,Fact Sheets,Other,"Jun 4, 2018"
5357,Presidential Message on National Cancer Survivors Day,Statements & Releases,Healthcare,"Jun 3, 2018"
5358,President Donald J. Trump’s Weekly Address,Statements & Releases,Other,"Jun 2, 2018"
5359,White House National Security Advisor Announces Senior Staff Appointment,Nominations & Appointments,Other,"Jun 1, 2018"
5360,Remarks by President Trump after Meeting with Vice Chairman Kim Yong Chol of the Democratic People’s Republic of Korea,Remarks,Foreign Policy,"Jun 1, 2018"
5361,Statement from the Press Secretary on Fuel-Secure Power Facilities,Statements & Releases,Infrastructure & Technology,"Jun 1, 2018"
5362,"President Donald J. Trump Signs H.R. 3562, H.R. 4009, and S. 1285 into Law",Statements & Releases,Other,"Jun 1, 2018"
5363,Trump Administration Supports Response to Ebola Outbreak in Congo,Other,Healthcare,"Jun 1, 2018"
5364,Remarks by President Trump at the U.S. Coast Guard Change-of-Command Ceremony,Remarks,National Security & Defense,"Jun 1, 2018"
5365,NYT: “We Ran Out of Words to Describe How Good the Jobs Numbers Are”,News Clips,Economy & Jobs,"Jun 1, 2018"
5366,Unemployment Levels Lowest in 18 Years; President Overseeing a Renaissance in Manufacturing,Other,Economy & Jobs,"Jun 1, 2018"
5367,President Donald J. Trump Proclaims June 2018 as African-American Music Appreciation Month,Proclamations,Other,"Jun 1, 2018"
5368,Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,Statements & Releases,Foreign Policy,"Jun 1, 2018"
5369,American Workers and Businesses Continue to See Gains Under the Trump Economy,News Clips,Economy & Jobs,"Jun 1, 2018"
5370,Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure,Other,Infrastructure & Technology,"Jun 1, 2018"
5371,President Donald J. Trump Proclaims June 2018 as National Homeownership Month,Proclamations,Economy & Jobs,"May 31, 2018"
5372,President Donald J. Trump Proclaims June 2018 as National Ocean Month,Proclamations,Energy & Environment,"May 31, 2018"
5373,Press Gaggle by Deputy Press Secretary Hogan Gidley,Press Briefings,Other,"May 31, 2018"
5374,President Donald J. Trump Proclaims June 2018 as National Caribbean-American Heritage Month,Proclamations,Other,"May 31, 2018"
5375,Remarks by President Trump Before Air Force One Departure,Remarks,Foreign Policy,"May 31, 2018"
5376,"What You Need to Know About Implementing Steel and Aluminum Tariffs on Canada, Mexico, and the European Union",Other,Economy & Jobs,"May 31, 2018"
5377,Statement from the Press Secretary Regarding the Pardon of Dinesh D’Souza,Statements & Releases,Law & Justice,"May 31, 2018"
5378,President Donald J. Trump Approves Section 232 Tariff Modifications,Statements & Releases,Economy & Jobs,"May 31, 2018"
5379,Presidential Proclamation Adjusting Imports of Aluminum into the United States,Proclamations,Economy & Jobs,"May 31, 2018"
5380,Presidential Proclamation Adjusting Imports of Steel into the United States,Proclamations,Economy & Jobs,"May 31, 2018"
5381,Remarks by President Trump at the White House Sports and Fitness Day,Remarks,Other,"May 30, 2018"
5382,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"May 30, 2018"
5383,President Donald J. Trump Approves Maine Disaster Declaration,Statements & Releases,Land & Agriculture,"May 30, 2018"
5384,"Remarks by President Trump at S.204, “Right to Try” Bill Signing",Remarks,Healthcare,"May 30, 2018"
5385,President Donald J. Trump Signs S. 204 into Law,Statements & Releases,Healthcare,"May 30, 2018"
5386,"Remarks by Vice President Pence at S.204, “Right to Try” Bill Signing",Remarks,Healthcare,"May 30, 2018"
5387,President Donald J. Trump to Sign Right to Try Legislation Fulfilling the Promise He Made to Expand Healthcare Options for Terminal Americans,Fact Sheets,Healthcare,"May 30, 2018"
5388,"We Didn’t Lose 1,500 Migrant Children. Most Are with Family.",Other,Immigration,"May 30, 2018"
5389,AEI’s Marc Thiessen: “Thank Republicans for Your Right to Try”,News Clips,Healthcare,"May 30, 2018"
5390,CEA Report: The Potential for Youth Sports to Improve Childhood Outcomes,Statements & Releases,Healthcare,"May 30, 2018"
5391,President Donald J. Trump Proclaims June 2018 as Great Outdoors Month,Proclamations,Land & Agriculture,"May 30, 2018"
5392,President Donald J. Trump Designates Personnel to a Key Administration Post,Nominations & Appointments,Other,"May 30, 2018"
5393,Readout of Vice President Mike Pence and Canadian Prime Minister Justin Trudeau,Statements & Releases,Foreign Policy,"May 29, 2018"
5394,Press Gaggle by Press Secretary Sarah Sanders,Press Briefings,Other,"May 29, 2018"
5395,President Donald J. Trump is Confronting China’s Unfair Trade Policies,Fact Sheets,Economy & Jobs,"May 29, 2018"
5396,Statement on Steps to Protect Domestic Technology and Intellectual Property from China’s Discriminatory and Burdensome Trade Practices,Statements & Releases,Economy & Jobs,"May 29, 2018"
5397,Remarks by President Trump at a Memorial Day Ceremony,Remarks,Other,"May 28, 2018"
5398,Readout of President Donald J. Trump’s Call with Prime Minister Shinzo Abe of Japan,Statements & Releases,Foreign Policy,"May 28, 2018"
5399,"This Memorial Day and Beyond, a Win for America’s Veterans",Other,Veterans,"May 27, 2018"
5400,Remarks by President Trump in Meeting with U.S. Citizen Freed From Venezuela,Remarks,Foreign Policy,"May 26, 2018"
5401,Statement from the Press Secretary Regarding the Release of Joshua Holt,Statements & Releases,Foreign Policy,"May 26, 2018"
5402,President Donald J. Trump Signs S. 35 into Law,Statements & Releases,Land & Agriculture,"May 25, 2018"
5403,Readout of President Donald J. Trump’s Call with Prime Minister Justin Trudeau of Canada,Statements & Releases,Foreign Policy,"May 25, 2018"
5404,President Donald J. Trump Is Reforming the Civil Service to Work for the American People,Fact Sheets,Budget & Spending,"May 25, 2018"
5405,Executive Order on Exemption from Executive Order 13658 for Recreational Services on Federal Lands,Executive Orders,Budget & Spending,"May 25, 2018"
5406,"Executive Order Developing Efficient, Effective, and Cost-Reducing Approaches to Federal Sector Collective Bargaining",Executive Orders,Budget & Spending,"May 25, 2018"
5407,"Executive Order Ensuring Transparency, Accountability, and Efficiency in Taxpayer Funded Union Time Use",Executive Orders,Budget & Spending,"May 25, 2018"
5408,Executive Order Promoting Accountability and Streamlining Removal Procedures Consistent with Merit System Principles,Executive Orders,Budget & Spending,"May 25, 2018"
5409,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post,Nominations & Appointments,Other,"May 25, 2018"
5410,"Remarks by Vice President Pence at Tragedy Assistance Program for Survivors Good Grief Camp | Arlington, VA",Remarks,Other,"May 25, 2018"
